title,level
วิ่ง 40 เมตร ชาย ป.ต้น,ประถมต้น
วิ่ง 40 เมตร หญิง ป.ต้น,ประถมต้น
วิ่ง 60 เมตร ชาย ป.ต้น,ประถมต้น
วิ่ง 60 เมตร หญิง ป.ต้น,ประถมต้น
วิ่งผลัด 4x50 เมตร ชาย ป.ต้น,ประถมต้น
วิ่งผลัด 4x50 เมตร หญิง ป.ต้น,ประถมต้น
วิ่ง 60 เมตร ชาย ป.ปลาย,ประถมปลาย
วิ่ง 60 เมตร หญิง ป.ปลาย,ประถมปลาย
วิ่ง 80 เมตร ชาย ป.ปลาย,ประถมปลาย
วิ่ง 80 เมตร หญิง ป.ปลาย,ประถมปลาย
วิ่ง 100 เมตร ชาย ป.ปลาย,ประถมปลาย
วิ่ง 100 เมตร หญิง ป.ปลาย,ประถมปลาย
วิ่ง 200 เมตร ชาย ป.ปลาย,ประถมปลาย
วิ่ง 200 เมตร หญิง ป.ปลาย,ประถมปลาย
วิ่งผลัด 4x100 เมตร ชาย ป.ปลาย,ประถมปลาย
วิ่งผลัด 4x100 เมตร หญิง ป.ปลาย,ประถมปลาย
กระโดดไกล ชาย ป.ปลาย,ประถมปลาย
กระโดดไกล หญิง ป.ปลาย,ประถมปลาย
วิ่ง 100 เมตร ชาย ม.ต้น,มัธยมต้น
วิ่ง 100 เมตร หญิง ม.ต้น,มัธยมต้น
วิ่ง 200 เมตร ชาย ม.ต้น,มัธยมต้น
วิ่ง 200 เมตร หญิง ม.ต้น,มัธยมต้น
วิ่ง 400 เมตร ชาย ม.ต้น,มัธยมต้น
วิ่ง 400 เมตร หญิง ม.ต้น,มัธยมต้น
วิ่ง 800 เมตร ชาย ม.ต้น,มัธยมต้น
วิ่ง 800 เมตร หญิง ม.ต้น,มัธยมต้น
วิ่ง 1500 เมตร ชาย ม.ต้น,มัธยมต้น
วิ่ง 1500 เมตร หญิง ม.ต้น,มัธยมต้น
วิ่งผลัด 4x100 เมตร ชาย ม.ต้น,มัธยมต้น
วิ่งผลัด 4x100 เมตร หญิง ม.ต้น,มัธยมต้น
กระโดดไกล ชาย ม.ต้น,มัธยมต้น
กระโดดสูง หญิง ม.ต้น,มัธยมต้น
ทุ่มน้ำหนัก ชาย ม.ต้น,มัธยมต้น
ทุ่มน้ำหนัก หญิง ม.ต้น,มัธยมต้น
วิ่ง 100 เมตร ชาย ม.ปลาย,มัธยมปลาย
วิ่ง 100 เมตร หญิง ม.ปลาย,มัธยมปลาย
วิ่ง 200 เมตร ชาย ม.ปลาย,มัธยมปลาย
วิ่ง 200 เมตร หญิง ม.ปลาย,มัธยมปลาย
วิ่ง 400 เมตร ชาย ม.ปลาย,มัธยมปลาย
วิ่ง 800 เมตร ชาย ม.ปลาย,มัธยมปลาย
วิ่ง 1500 เมตร ชาย ม.ปลาย,มัธยมปลาย
วิ่ง 5000 เมตร ชาย ม.ปลาย,มัธยมปลาย
วิ่งผลัด 4x100 เมตร ชาย ม.ปลาย,มัธยมปลาย
วิ่งผลัด 4x100 เมตร หญิง ม.ปลาย,มัธยมปลาย
กระโดดไกล ชาย ม.ปลาย,มัธยมปลาย
เขย่งก้าวกระโดด ชาย ม.ปลาย,มัธยมปลาย
พุ่งแหลน ชาย ม.ปลาย,มัธยมปลาย
ขว้างจักร ชาย ม.ปลาย,มัธยมปลาย
วิ่งผลัด 4x400 เมตร ชาย คณะสี,ทีมคณะสี
วิ่งผลัดผสม ชาย-หญิง คณะสี,ทีมคณะสี
